Abbreviation used in plots,Trait.name,Variable.name,Method.name,Scale.name,Variable.ID,Trait.ID,Method.ID,Scale.ID,Context.of.use,Growth.stage,Variable.status,Variable.Xref,Trait.class,Method.class,Scale.class,Trait.description,Method.description,Entity
LS,Leaf Spot,LS_E_0to4,LS Estimation,0-4 incidence scale,,,,,Descriptor,,,,Biotic stress traits,Computation,,Leaf spot incidence in plants,,Plant
Mat,Maturity time,Mat_dto_day,Mat DS87 DT Computation,day,CO_321:0001290,CO_321:0000022,CO_321:0000232,CO_321:0000434,Nursery/Trial evaluation,Physiological maturity (DS87 approx.),,BMS_22677,Phenological traits,Computation,Duration,Maturity time starts at hard dough stage (ds87) often called physiological maturity.,"Number of days required from sowing to physiological maturity (approx. DS87). However, when planting in dry soils in dryland areas it is counted from the first day of rainfall or irrigation which is sufficient for germination, or from emergence date.",Plant
MgWtGr,Magnesium weight per grain,MgWtGr_CalcIcpTgw_uggrain,MgWtGr Computation,uggrain,ROTH_VARIABLE:000358,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Magnesium weight per grain,Magnesium weight per grain calculated from grain offtake and grains per unit area,Grain
MnWtGr,Manganese weight per grain,MnWtGr_CalcIcpTgw_uggrain,MnWtGr Computation,uggrain,ROTH_VARIABLE:000359,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Manganese weight per grain,Manganese weight per grain calculated from grain offtake and grains per unit area,Grain
NaWtGr,Sodium weight per grain,NaWtGr_CalcIcpTgw_uggrain,NaWtGr Computation,uggrain,ROTH_VARIABLE:000361,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Sodium weight per grain,Sodium weight per grain calculated from grain offtake and grains per unit area,Grain
NDVI,Canopy normalized difference vegetation index,NDVI_M_Idx,Canopy spectral reflectance Measurement,index,CO_321:0001081,CO_321:0000301,CO_321:0000364,CO_321:0000421,Nursery/Trial evaluation,DS10-DS85,,BMS_29122,Physiological traits,Measurement,Numerical,Normalized difference vegetation index is used to measure vegetative greenness and canopy photosynthetic size.,Standard method for spectral reflectance.,Canopy
NHI,Nitrogen harvest index,NHI_Calc_pct,NHI Computation,%,CO_321:0001703,CO_321:0001666,CO_321:0001686,CO_321:0000410,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,The fraction of Nitrogen recovered in the harvested grain as a function of the total Nitrogen taken up.,Calculated as total grain Nitrogen divided by the total biomass Nitrogen.,Plant
NodeNO,Node number,NodeNO_Ct_node,NodeN Counting,node,CO_321:0001294,CO_321:0000051,CO_321:0000271,CO_321:0000437,Descriptor,DS61-DS75,,BMS_29123,Morphological traits,Counting,Numerical,Number of nodes in the main stem.,Standard method for node number.,Stem
NodepSP,Node number per spike,NodepSP_Calc_NodepSP,NodepSP Counting,,,,,,,,,,Yield component,Counting,,,,Plant
NUE,Nitrogen use efficiency,NUE_Calc_kgkgN,NUE Computation,kg/kg N,CO_321:0001719,CO_321:0001670,CO_321:0001690,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,The grain dry mass (grain yield) production per  Nitrogen available  to a plant.,Calculated as the grain yield divided by the total soil Nitrogen.,Grain
NUpE,Nitrogen uptake efficiency,NUpE_Calc_kgkgN,NUpE Computation,kg/kg N,CO_321:0001716,CO_321:0001667,CO_321:0001687,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,N-uptake efficiency as the total amount of Nitrogen in the above-ground plant at harvest in relation to the available Nitrogen in soil.,Calculated as above ground biomass Nitrogen content divided by soil Nitrogen,Plant
NUtE,Grain Nitrogen utilization efficiency,NUtE_Calc_kgkgN,NUtE Computation,kg/kg N,CO_321:0001717,CO_321:0001668,CO_321:0001688,CO_321:0001699,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Nitrogen utilization efficiency as the grain dry mass in relation to the total amount of Nitrogen in above-ground plant at harvest.,Calculated as grain yield per unit of Nitrogen taken up.,Grain
NWtGr,Nitrogen weight per grain,NWtGr_CalcNirsTgw_uggrain,NWtGr Computation,uggrain,ROTH_VARIABLE:000348,,,,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Nitrogen weight per grain,Nitrogen weight per grain calculated from grain offtake (from NIRS analysis) and grains per unit area,Grain
PairedSplN,Paired Spikelet number,PairedSplN_Ct_SplSpk,,,,,,,,,,,Morphological traits,Counting,,,,Spike
PgramCI,Stem rust coefficient of infection,PgramCI_Calc_pct,Rust Coefficient of infection Computation,%,CO_321:0001379,CO_321:0000688,CO_321:0001026,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,,BMS_22756,Biotic stress traits,Computation,Numerical,Stem rust (black rust) incidence/severity/response in the plants caused by the agent Puccinia graminis f.sp. tritici.,"Coefficient of infection (CI) calculated by multiplying the severity times a constant for host response: where immune = 0.0, R=0.2, MR =0.4, MS =0.8, and S=1.0.",Plant
PH,Plant height,PH_M_cm,PH Measurement,cm,CO_321:0001301,CO_321:0000020,CO_321:0000241,CO_321:0000411,Nursery/Trial evaluation,DS75-DS89,,BMS_18020,Biomass partitioning,Measurement,Numerical,"Height of plant from ground to top of spike, excluding awns.",Measure the length of individual culms from soil surface to the tip of the spike (do not include awn) and record to the nearest centimeter. (Average of 4-10 plants/culms per plot).,Plant
PherpResp,Eyespot plant response,PherpResp_E_1to8,PherpResp Estimation,1-8 generic disease field response scale,CO_321:0001124,CO_321:0000102,CO_321:0000320,CO_321:0000471,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease.,,BMS_29137,Biotic stress traits,Estimation,Ordinal,Eye spot response in the plants caused by the fungal species Tapesia yallundae (Pseudocercosporella herpotrichoide w-type) and Tapesia acuformis (Pseudocercosporella herpotrichoides r-type). Symptoms: the eye shape elliptical lesions forms on lower base of stem and lower leaf sheath. The eyespots are straw yellow in colour from the middle and are surrounded by the greenish brown to dark brown rings.,Standard method for eye spot field response.,Plant
PollV,Pollen viability,PollV_IFCA12MHz_pct,PollV Measurement,%,JIC_CO_321:0009,,,,Research-intensive characterization,,,,Physiological traits,Measurement,Numerical,Pollen viability at anthesis.,Pollen Viability determined by impedance flow cytometry (Amphasys AG). Detection of percentage of viable pollen was conducted at 12 MHz.,Pollen
PrecoSev,Leaf rust severity,PrecoSev_E_pct,Rust severity Estimation,%,CO_321:0001270,CO_321:0000902,CO_321:0000693,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,,BMS_22760,Biotic stress traits,Estimation,Numerical,Leaf rust (brown rust) severity in the plants caused by the agent Puccinia recondita.,"Severity of rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",Leaf
PRI,Photochemical Reflectance Index,PRI_M_Idx,PRI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,related to nitrogen concentration and the water content of leaf,,Leaf
PstriSev,Stripe rust severity,PstriSev_E_pct,Rust severity Estimation,%,CO_321:0001396,CO_321:0000908,CO_321:0000693,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,,BMS_29148,Biotic stress traits,Estimation,Numerical,Stripe rust (yellow rust) severity in the plants caused by the agent Puccinia striiformis f.sp. tritici.,"Severity of rust is recorded as a percentage, according to the modified Cobb scale. As this relies upon observation it cannot be absolutely accurate. Thus it is common to use the following intervals: 0, 5, 10, 20, 40, 60, and 100 percent infection.",Leaf
PWtGr,Phosphorus weight per grain,PWtGr_CalcIcpTgw_uggrain,PWtGr Computation,uggrain,ROTH_VARIABLE:000363,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Phosphorus weight per grain,Phosphorus weight per grain calculated from grain offtake and grains per unit area,Grain
RootLng,Root length,RootLng_M_cm,RootLng Measurement,cm,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,Numerical,Root length at seedling stage.,Standard method for root length measurment at seedling stage.,Root
RVI,Ratio Vegetation Index,RVI_M_Idx,RVI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,"a sensitive indicator parameter of green plants, and highly correlated with leaf area index and leaf dry biomass and chlorophyII content, can be usesd to detect and estimate plant biomass",,Leaf
SC,Stomatal Conductance,SC_M_mol/m⁻²s⁻¹ ,SC Measurement,mol/m⁻²s⁻¹ ,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,Stomatal Conductance measures how freely a plant can exchange gases with its surroundings through these leaf openings.,,Leaf
SenDurTT,Senescence duration thermal time,SenDurTT_Cal_Cday,,,,,,,Research-intensive characterization,,,,Phenological traits,,,,,Plant
SenEndTT,End of senescence thermal time,SenEndTT_Cal_Cday,,,,,,,Research-intensive characterization,,,,Phenological traits,,,,,Plant
SenOnTT,Onset of senescence thermal time,SenOnTT_Cal_Cday,,,,,,,Research-intensive characterization,,,,Phenological traits,,,,,Plant
SN,Spike number,SN_Calc_Spksm2,SN Computation,spike/m2,CO_321:0001365,CO_321:0000166,CO_321:0000958,CO_321:0000441,Trial evaluation,DS75-DS89,,BMS_22909,Yield component,Computation,Numerical,"Number of spikes (fertile culms) per unit area, sample or plant.",Calculated from yield components sampling.,Spike
SpkDen,Spike density,SpkDen_E_1to9,SpkDen Estimation,1-9 SPKDEN scale,CO_321:0001362,CO_321:0000055,CO_321:0000276,CO_321:0000467,Descriptor,DS61-DS75,,BMS_29173,Morphological traits,Estimation,Ordinal,Density or compactness of a wheat spike.,Standard method for spike density.,Spike
SpkDW,Spike dry weight,SpkDW_Calc_gm2,SpkDW Computation,g/m2,CO_321:0001644,CO_321:0001523,CO_321:0001579,CO_321:0000805,Nursery/Trial evaluation,,,,Yield component,Computation,Numerical,Dry weight of spike(s).,Standard spike dry weight method.,Spike
SpkGW,Grain weight per spike,SpkGW_M_g,SpkGW Measurement,g,CO_321:0001647,CO_321:0001526,CO_321:0001582,CO_321:0001593,Nursery/Trial evaluation,After physiological maturity (DS87),,,Yield component,Measurement,Numerical,Grain weight per spike.,Dry grains at 70oC and weigh.,Spike
SpkLng,Spike length,SpkLng_M_cm,SpkLng Measurement,cm,CO_321:0001364,CO_321:0000056,CO_321:0000277,CO_321:0000411,Research-intensive characterization,DS75-DS89,,BMS_23057,Morphological traits,Measurement,Numerical,Length of spike.,Measured in centimeters from the base of the spike to the tip excluding the awns (average of 6-10 random spikes in plot).,Spike
SplN,Spikelet number,SplN_Ct_SplSpk,SplN Counting,spikelet/spike,CO_321:0001369,CO_321:0000058,CO_321:0000279,CO_321:0000440,Research-intensive characterization,DS75-DS89,,BMS_23058,Yield component,Counting,Numerical,Number of spikelets per spike.,"Both the total number of spikelets and the number of fertile spikelets (i.e., those containing grain) per spike should be counted towards the end of grain-filling, but before physiological maturity (to avoid losses due to movement through the plots). Randomly sample 5-10 spikes per plot, by selecting at the base of the culm. Count the total number of spikelets (pair-by-pair, from the base to the tip), then obtain the average. When sampling large numbers of samples or plots, time may be saved by randomly counting one side of the spike and multiplying by two.",Spikelet
StemCol,Stem Colour,StemCol_E_0to1,StemCol Estimation,0-1 green or pink,,,,,Descriptor,,,,Morphological traits,Estimation,,stem colour,,Stem
StmLng,Stem length,StmLng_M_cm,StmLng Measurement,cm,CO_321:0001378,CO_321:0000060,CO_321:0000282,CO_321:0000411,Research-intensive characterization,DS61-DS75,,BMS_29180,Morphological traits,Measurement,Numerical,Length of stem.,Standard method for stem length.,Stem
StrawYld,Straw yield,StrawYld_Calc_tha,StrawYield_Computation,t/ha,CO_321:0001707,CO_321:0000977,CO_321:0001677,CO_321:0000432,Research-intensive characterization,After harvest,,,Biomass partitioning,Computation,Numerical,Amount (weight) of straw.,Calculated as difference between biomass and grain yield.,Straw
StritInc,Septoria tritici blotch incidence,StritInc_E_pct,StritInc Estimation,%,CO_321:0001351,CO_321:0000919,CO_321:0000881,CO_321:0000410,Nursery/Trial evaluation,Disease assessment is conducted through the growing season starting with the onset of the disease. Mainly from DS61.,,BMS_22770,Biotic stress traits,Estimation,Numerical,Septoria tritici blotch incidence in the plants caused by the agent Mycosphaerella graminicola (Septoria tritici). symptoms: the lesions are linear and restricted laterally.,Standard method for Septoria tritici blotch incidence.,Plant
STRNitr,Straw Nitrogen content,STRNitr_NIRS_pct,STR NIRS Measurement,%,CO_321:0001701,CO_321:1010043,CO_321:0001678,CO_321:0000410,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Measurement,Numerical,Nitrogen content of the above ground straw biomass.,Straw NIR calibrated.,Straw
STRNUP,Straw Nitrogen uptake,STRNUP_Calc_kgha,STRNUp Computation,kg/ha,CO_321:0001710,CO_321:0001665,CO_321:0001685,CO_321:0000804,Research-intensive characterization,After harvest,,,Nitrogen Use Efficiency components,Computation,Numerical,Uptake of Nitrogen in the whole above ground straw.,Calculated as total amount of Nitrogen in the straw at harvest.,Straw
SWtGr,Sulphur weight per grain,SWtGr_CalcIcpTgw_uggrain,SWtGr Computation,uggrain,ROTH_VARIABLE:000365,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Sulphur weight per grain,Sulphur weight per grain calculated from grain offtake and grains per unit area,Grain
TN,Tiller number,TN_Ct_Tllrm2,TN Counting,tiller/m2,CO_321:0001411,CO_321:0000190,CO_321:0000371,CO_321:0000821,Trial evaluation,DS30-DS55,,BMS_29195,Yield component,Counting,Numerical,"Number of total tillers (fertile and infertile) per unit area, sample or plant.","Count or calculate the number of total tillers (fertile and infertile) per lineal meter, per plant or per square meter.",Tiller
TR,Transpiration Rate,TR_M_mmol/m⁻²s⁻¹,TR Measurement,mmol/m⁻²s⁻¹,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,The amount of water that plants lose through tiny openings called stomata on their leaves.,,Leaf
TVI,Triangular Vegetation Index,TVI_M_Idx,TVI Measurement,index,,,,,Research-intensive characterization,,,,Physiological traits,Measurement,,related with leaf area index and Canopy chlorophyll content,,Leaf
WAXY,Waxy,WAXY_M_0to3,WAXY Estimation,0-3 WAXY scale,,,,,Descriptor,,,,Morphological traits,Estimation,,"A white, powdery substance on the surface of a wheat stalk",,Plant
ZnWtGr,Zinc weight per grain,ZnWtGr_CalcIcpTgw_uggrain,ZnWtGr Computation,uggrain,ROTH_VARIABLE:000368,,,,Research-intensive characterization,After harvest,,,Nutrition/Quality traits,Computation,Numerical,Zinc weight per grain,Zinc weight per grain calculated from grain offtake and grains per unit area,Grain
