chrom	length	bases	mean	min	max
TE_00001214#MITE/DTM	98	6430	65.61	32	120
TE_00001215_INT#LTR/unknown	2817	221829	78.75	1	1095
TE_00001216_INT#LTR/Gypsy	3417	10777445	3154.07	0	8758
TE_00001217_LTR#LTR/Copia	187	204580	1094.01	164	1467
TE_00001218_LTR#LTR/Gypsy	919	2425809	2639.62	101	7567
TE_00001219_INT#LTR/Copia	327	1276964	3905.09	0	12122
TE_00001220#DNA/Helitron	367	6838	18.63	1	40
TE_00001221_LTR#LTR/unknown	4017	5955249	1482.51	9	9275
TE_00001222#DNA/Helitron	532	6250	11.75	0	92
TE_00001223_LTR#LTR/unknown	1027	1425848	1388.36	162	4257
TE_00001224#DNA/DTT	2344	68968	29.42	0	87
TE_00001225_INT#LTR/Copia	3009	16946015	5631.78	0	13109
TE_00001226#DNA/DTM	1654	55048	33.28	0	165
TE_00001227_INT#LTR/unknown	5861	516504	88.13	0	516
TE_00001228#DNA/DTT	314	66297	211.14	56	277
TE_00001229#MITE/DTH	105	474	4.51	3	5
TE_00001230_INT#LTR/Gypsy	901	42705	47.40	0	122
TE_00001231#DNA/Helitron	1496	34283	22.92	2	169
TE_00001232_INT#LTR/Copia	955	676748	708.64	0	1879
TE_00001233_INT#LTR/Copia	4740	206193	43.50	0	1059
TE_00001234#MITE/DTA	188	5472	29.11	5	42
TE_00001235_LTR#LTR/Copia	247	11223	45.44	15	73
TE_00001236#DNA/DTT	666	2209	3.32	0	9
TE_00001237_INT#LTR/Copia	4573	926151	202.53	1	1021
TE_00001238#MITE/DTM	324	57469	177.37	1	226
TE_00001239_LTR#LTR/unknown	446	10033	22.50	3	100
TE_00001240_INT#LTR/unknown	640	2981619	4658.78	0	6121
TE_00001241#MITE/DTA	406	4888	12.04	3	32
TE_00001242#MITE/DTT	234	15958	68.20	2	149
TE_00001243_INT#LTR/Copia	4849	78501	16.19	5	42
TE_00001244_INT#LTR/Copia	4821	274617	56.96	1	189
TE_00001245_LTR#LTR/unknown	123	12479	101.46	68	115
TE_00001246_INT#LTR/Gypsy	9683	5929442	612.36	0	5373
TE_00001247_INT#LTR/unknown	181	116534	643.83	0	2452
TE_00001248#DNA/DTA	1262	15840	12.55	1	56
TE_00001249_INT#LTR/Copia	677	1189	1.76	0	5
TE_00001250#DNA/DTM	2788	59799	21.45	1	256
TE_00001251_LTR#LTR/Copia	1413	5982058	4233.59	522	5712
TE_00001252#DNA/DTH	663	2192	3.31	0	18
TE_00001253#DNA/Helitron	5771	96949	16.80	0	330
TE_00001254_INT#LTR/Gypsy	1757	252564	143.75	16	405
TE_00001255_INT#LTR/Copia	254	332349	1308.46	363	2550
TE_00001256_LTR#LTR/unknown	4233	7085295	1673.82	10	11741
TE_00001257#MITE/DTA	195	543	2.78	0	5
TE_00001258#DNA/DTC	1460	155886	106.77	3	329
TE_00001259#MITE/DTA	171	1136	6.64	0	14
TE_00001260#DNA/DTC	119	19052	160.10	0	278
TE_00001261#DNA/DTT	1035	22066	21.32	1	273
TE_00001262_INT#LTR/Gypsy	849	511233	602.16	0	1216
TE_00001263#DNA/DTT	717	5763	8.04	0	58
TE_00001264#MITE/DTT	443	4650	10.50	0	76
TE_00001265#MITE/DTH	288	22192	77.06	1	330
TE_00001266_INT#LTR/Gypsy	8132	4503859	553.84	15	2998
TE_00001267#MITE/DTH	182	99480	546.59	213	665
TE_00001268#MITE/DTA	162	1000	6.17	3	13
TE_00001269#DNA/DTM	945	102635	108.61	1	223
TE_00001270#DNA/DTM	616	40151	65.18	21	97
TE_00001271_INT#LTR/Copia	191	68174	356.93	0	1355
TE_00001272_INT#LTR/Gypsy	3587	35991404	10033.85	1899	18464
TE_00001273_INT#LTR/Copia	5339	17185051	3218.78	3	12672
TE_00001274#DNA/DTC	3896	6005948	1541.57	5	3944
TE_00001275#DNA/DTC	3912	275255	70.36	5	608
TE_00001276#DNA/DTT	456	43977	96.44	0	347
TE_00001277_LTR#LTR/unknown	2665	5307153	1991.43	20	6063
TE_00001278_INT#LTR/Gypsy	4965	102025	20.55	1	46
TE_00001279_INT#LTR/Gypsy	10493	13170657	1255.19	3	8845
TE_00001280_INT#LTR/Gypsy	1672	1407857	842.02	0	1841
TE_00001281#DNA/DTC	3006	1451858	482.99	0	2723
TE_00001282#MITE/DTH	290	2000	6.90	2	17
TE_00001283_INT#LTR/Gypsy	4231	2721418	643.21	0	2242
TE_00001284#MITE/DTM	141	862	6.11	0	10
TE_00001285_INT#LTR/Gypsy	4879	295820	60.63	5	180
TE_00001286#DNA/Helitron	8526	4092212	479.97	0	4950
TE_00001287#DNA/DTT	1376	5845	4.25	0	57
TE_00001288#DNA/Helitron	3161	24613	7.79	0	92
TE_00001289#DNA/Helitron	953	9151	9.60	0	44
TE_00001290_INT#LTR/Gypsy	4855	9594694	1976.25	0	5186
TE_00001291#DNA/Helitron	6786	356978	52.61	0	938
TE_00001292#DNA/DTC	4181	1026550	245.53	1	1179
TE_00001293#DNA/DTC	175	15040	85.94	0	470
TE_00001294_INT#LTR/Gypsy	3359	3458666	1029.67	0	16835
TE_00001295#MITE/DTH	285	170049	596.66	88	927
TE_00001296#DNA/DTM	1020	35412	34.72	3	215
TE_00001297_LTR#LTR/unknown	604	6264052	10370.95	2	17865
TE_00001298#DNA/DTC	3141	3620457	1152.64	4	3997
TE_00001299#DNA/DTH	2454	263708	107.46	1	219
TE_00001300_INT#LTR/unknown	827	1448493	1751.50	0	3275
TE_00001301#MITE/DTT	358	4093	11.43	3	26
TE_00001302#DNA/Helitron	3533	65660	18.58	1	90
TE_00001303#DNA/DTT	2321	26008	11.21	0	144
TE_00001304_INT#LTR/Gypsy	97	16734	172.52	0	287
TE_00001305#DNA/DTC	109	688	6.31	0	11
TE_00001306_INT#LTR/Copia	945	13528053	14315.40	959	60805
TE_00001307#DNA/DTA	607	249461	410.97	114	494
TE_00001308#DNA/DTH	1249	6430	5.15	0	13
TE_00001309#DNA/DTM	1138	44324	38.95	4	301
TE_00001310#DNA/DTH	1587	19035	11.99	0	74
TE_00001311_INT#LTR/Gypsy	10002	7856737	785.52	5	2998
TE_00001312_INT#LTR/unknown	118	38363	325.11	0	615
TE_00001313#MITE/DTH	458	8436	18.42	2	29
TE_00001314_INT#LTR/Gypsy	1828	2642222	1445.42	0	4731
TE_00001315_LTR#LTR/unknown	3154	7011297	2222.99	3	7341
TE_00001316_INT#LTR/Gypsy	768	1168845	1521.93	0	2384
TE_00001317#MITE/DTT	241	1146	4.76	2	6
TE_00001318_INT#LTR/unknown	5028	316279	62.90	2	545
TE_00001319#DNA/DTM	3837	22329	5.82	0	141
TE_00001320#DNA/DTC	1574	60661	38.54	4	78
TE_00001321_INT#LTR/Copia	98	707	7.21	0	18
TE_00001322#MITE/DTA	139	6514	46.86	2	113
TE_00001323#DNA/DTH	856	2025	2.37	0	8
TE_00001324_INT#LTR/Gypsy	2132	7258162	3404.39	0	12053
TE_00001325_INT#LTR/Gypsy	6785	27119462	3996.97	56	18173
TE_00001326_INT#LTR/unknown	175	165067	943.24	4	1765
TE_00001327#DNA/DTM	2700	71604	26.52	0	498
TE_00001328_LTR#LTR/unknown	3972	6351836	1599.15	4	7744
TE_00001329_LTR#LTR/Gypsy	544	3084177	5669.44	1432	9884
TE_00001330_INT#LTR/Gypsy	4364	233648	53.54	1	75
TE_00001331#DNA/DTC	1119	246634	220.41	3	775
TE_00001332_INT#LTR/Gypsy	89	3318	37.28	0	47
TE_00001333#MITE/DTH	277	847	3.06	0	9
TE_00001334#MITE/DTH	228	4844	21.25	1	49
TE_00001335#DNA/DTM	1993	28317	14.21	0	66
TE_00001336#DNA/DTA	639	94184	147.39	19	312
TE_00001337_INT#LTR/Gypsy	2865	20506	7.16	0	116
TE_00001338_LTR#LTR/Gypsy	1094	979884	895.69	291	2085
TE_00001339#DNA/DTH	2597	556469	214.27	1	566
TE_00001340_LTR#LTR/Gypsy	293	5125	17.49	0	35
TE_00001341_INT#LTR/Gypsy	5965	1635941	274.26	2	1794
TE_00001342_LTR#LTR/unknown	3930	2624941	667.92	6	6727
TE_00001343#DNA/DTT	1083	6983	6.45	0	15
TE_00001344#MITE/DTM	233	1033	4.43	1	18
TE_00001345#DNA/DTM	4313	316970	73.49	4	158
TE_00001346#MITE/DTT	189	36097	190.99	3	294
TE_00001347#DNA/DTM	852	32547	38.20	0	286
TE_00001348_LTR#LTR/unknown	3880	8029982	2069.58	8	14342
TE_00001349#MITE/DTH	284	77671	273.49	106	351
TE_00001350_INT#LTR/Gypsy	93	298	3.20	0	7
TE_00001351_INT#LTR/Gypsy	7803	8820671	1130.42	2	8334
TE_00001352#DNA/DTC	152	4083	26.86	0	77
TE_00001353_INT#LTR/Gypsy	513	879982	1715.36	7	3107
TE_00001354#DNA/DTC	679	217039	319.65	1	864
TE_00001355_LTR#LTR/unknown	1102	680188	617.23	39	2106
TE_00001356#DNA/DTT	2739	79512	29.03	0	851
TE_00001357#DNA/DTM	1475	33805	22.92	2	136
TE_00001358_LTR#LTR/Gypsy	492	3705440	7531.38	3691	11642
TE_00001359_INT#LTR/Gypsy	3233	1469972	454.68	0	1795
TE_00001360#DNA/Helitron	9724	23306377	2396.79	0	10652
TE_00001361_INT#LTR/Gypsy	409	1818350	4445.84	0	15839
TE_00001362#DNA/DTC	85	4422	52.02	0	85
TE_00001363_INT#LTR/unknown	738	4501655	6099.80	0	12840
TE_00001364_LTR#LTR/unknown	258	684207	2651.97	190	7311
TE_00001365#DNA/DTC	124	11856	95.61	45	129
TE_00001366_INT#LTR/unknown	2889	851745	294.82	2	1273
TE_00001367_LTR#LTR/Gypsy	288	12870	44.69	11	69
TE_00001368#DNA/DTT	1461	8226	5.63	0	55
TE_00001369#MITE/DTM	184	19649	106.79	29	129
TE_00001370_INT#LTR/unknown	2599	1497131	576.04	4	2011
TE_00001371_INT#LTR/Gypsy	3657	772459	211.23	0	711
TE_00001372_INT#LTR/Gypsy	4936	1470759	297.97	0	817
TE_00001373#DNA/DTA	691	16544	23.94	2	51
TE_00001374#DNA/DTC	700	12634	18.05	2	80
TE_00001375_INT#LTR/Gypsy	1587	542315	341.72	38	783
TE_00001376#DNA/DTH	1381	567349	410.82	89	705
TE_00001377#DNA/DTM	2662	44278	16.63	0	86
TE_00001378_INT#LTR/Gypsy	11525	3414107	296.23	1	1885
TE_00001379#DNA/Helitron	5509	117259	21.28	3	138
TE_00001380#DNA/Helitron	2350	25927	11.03	0	55
TE_00001381_INT#LTR/Gypsy	1906	1723628	904.32	0	2850
TE_00001382_LTR#LTR/Copia	380	6253	16.46	6	37
TE_00001383_INT#LTR/unknown	374	212093	567.09	9	1533
TE_00001384#MITE/DTA	271	16662	61.48	0	92
TE_00001385_INT#LTR/Gypsy	223	24438	109.59	0	197
TE_00001386#DNA/DTT	1788	28735	16.07	1	91
TE_00001387_INT#LTR/Copia	4381	130230	29.73	0	214
TE_00001388_INT#LTR/Gypsy	110	11919	108.35	0	209
TE_00001389_INT#LTR/Gypsy	9328	15130297	1622.03	30	8486
TE_00001390_LTR#LTR/unknown	3479	81176	23.33	1	128
TE_00001391_LTR#LTR/Gypsy	944	1211140	1282.99	258	2412
TE_00001392_INT#LTR/Gypsy	169	24636	145.78	0	280
TE_00001393#DNA/DTH	2311	1158542	501.32	2	977
TE_00001394_INT#LTR/unknown	2261	73183	32.37	1	162
TE_00001395_INT#LTR/Gypsy	3698	2416961	653.59	14	2831
TE_00001396#DNA/DTT	1564	244821	156.54	0	2413
TE_00001397_INT#LTR/Gypsy	11007	6527523	593.03	0	2844
TE_00001398#MITE/DTT	363	2782	7.66	2	12
TE_00001399#DNA/DTM	917	63377	69.11	2	253
TE_00001400_INT#LTR/Gypsy	2100	2398796	1142.28	0	3018
TE_00001401#DNA/DTC	467	2335446	5000.96	0	20412
TE_00001402#DNA/DTT	1008	100180	99.38	0	769
TE_00001403#DNA/DTC	959	12416	12.95	0	32
TE_00001404_INT#LTR/unknown	356	902891	2536.21	0	5441
TE_00001405_INT#LTR/Gypsy	1109	253217	228.33	1	905
TE_00001406#DNA/DTA	1698	17335	10.21	0	47
TE_00001407_INT#LTR/unknown	2269	1083746	477.63	2	1067
TE_00001408_LTR#LTR/Copia	483	4578	9.48	3	45
TE_00001409_INT#LTR/Copia	4263	570095	133.73	51	233
TE_00001410#DNA/DTH	846	82265	97.24	4	497
TE_00001411#MITE/DTT	249	55252	221.90	1	634
TE_00001412_INT#LTR/unknown	2520	535700	212.58	18	658
TE_00001413_INT#LTR/Gypsy	4572	41784	9.14	2	21
TE_00001414#DNA/DTH	1147	183160	159.69	9	604
TE_00001415#MITE/DTH	365	70081	192.00	1	491
TE_00001416_INT#LTR/Copia	4480	10610937	2368.51	892	4259
TE_00001417_LTR#LTR/Copia	1536	798758	520.02	101	1618
TE_00001418_INT#LTR/Gypsy	4015	5403547	1345.84	0	9373
TE_00001419_INT#LTR/unknown	914	2957522	3235.80	162	6076
TE_00001420#DNA/DTH	1062	49432	46.55	1	196
TE_00001421#DNA/DTM	2320	45258	19.51	3	47
TE_00001422_LTR#LTR/Gypsy	1122	1932888	1722.72	21	10432
TE_00001423#MITE/DTA	157	5496	35.01	15	57
TE_00001424_LTR#LTR/Copia	149	3647	24.48	2	33
TE_00001425#DNA/DTT	684	5638	8.24	1	33
TE_00001426_INT#LTR/unknown	459	518316	1129.23	0	5839
TE_00001427_INT#LTR/Gypsy	2116	8723129	4122.46	0	9648
TE_00001428#MITE/DTT	190	467	2.46	0	13
TE_00001429#MITE/DTA	160	22298	139.36	21	188
TE_00001430_INT#LTR/Copia	153	3376848	22070.90	383	39790
TE_00001431_INT#LTR/Copia	131	3776	28.82	0	46
TE_00001432#MITE/DTT	99	1550	15.66	0	28
TE_00001433#DNA/DTC	3302	1057826	320.36	0	3681
TE_00001434_LTR#LTR/unknown	4321	5381478	1245.42	1	5729
TE_00001435#DNA/DTC	962	98500	102.39	1	449
TE_00001436#MITE/DTT	236	59830	253.52	24	649
TE_00001437_LTR#LTR/Gypsy	363	19067	52.53	15	105
TE_00001438_LTR#LTR/unknown	4237	2998374	707.66	5	4484
TE_00001439_INT#LTR/unknown	280	1127815	4027.91	0	7564
TE_00001440#DNA/DTH	2126	598962	281.73	14	829
TE_00001441_LTR#LTR/Gypsy	3709	8096249	2182.87	28	4771
TE_00001442#DNA/DTC	660	131771	199.65	20	397
TE_00001443#MITE/DTH	474	47471	100.15	0	303
TE_00001444#MITE/DTA	570	36241	63.58	2	146
TE_00001445#DNA/DTT	4008	112350	28.03	2	156
TE_00001446#DNA/DTT	3938	155420	39.47	0	905
TE_00001447#MITE/DTH	239	3131	13.10	1	28
TE_00001448_INT#LTR/Gypsy	2980	15430662	5178.07	1	15230
TE_00001449_INT#LTR/Gypsy	327	39152	119.73	0	199
TE_00001450#MITE/DTA	141	633	4.49	2	8
TE_00001451#DNA/DTM	923	63323	68.61	0	264
TE_00001452#DNA/DTT	606	41975	69.27	0	351
TE_00001453_INT#LTR/Gypsy	7475	31469691	4209.99	492	12014
TE_00001454#DNA/DTC	3004	212002	70.57	0	446
TE_00001455_LTR#LTR/Copia	148	37719	254.86	13	350
TE_00001456_INT#LTR/unknown	4914	590646	120.20	0	829
TE_00001457#MITE/DTM	136	1575	11.58	3	18
TE_00001458#DNA/Helitron	7534	504468	66.96	0	618
TE_00001459_LTR#LTR/Gypsy	4047	11036756	2727.15	113	13717
TE_00001460#DNA/Helitron	339	11627	34.30	0	96
TE_00001461_INT#LTR/unknown	451	957685	2123.47	3	5582
TE_00001462_INT#LTR/Gypsy	5967	2606813	436.87	0	23801
TE_00001463_INT#LTR/unknown	5781	5628544	973.63	7	3023
TE_00001464#MITE/DTT	298	2522	8.46	0	21
TE_00001465#MITE/DTT	316	51034	161.50	18	231
TE_00001466#DNA/DTC	155	1537	9.92	0	19
TE_00001467_LTR#LTR/Copia	190	5282	27.80	15	33
TE_00001468#DNA/DTM	1191	30183	25.34	1	84
TE_00001469#MITE/DTM	144	599	4.16	2	6
TE_00001470#DNA/DTC	112	42732	381.54	0	743
TE_00001471_INT#LTR/unknown	295	7430	25.19	0	77
TE_00001472_LTR#LTR/Copia	212	17404	82.09	32	285
TE_00001473#DNA/DTT	157	50495	321.62	5	603
TE_00001474_INT#LTR/unknown	4355	539013	123.77	1	596
TE_00001475#DNA/DTH	1277	354693	277.75	1	737
TE_00001476#MITE/DTT	355	442934	1247.70	9	3623
TE_00001477_INT#LTR/unknown	2494	9289819	3724.87	90	19182
TE_00001478#DNA/DTM	1355	21488	15.86	2	288
TE_00001479#DNA/DTC	128	2162	16.89	0	63
TE_00001480_INT#LTR/unknown	1266	79451	62.76	0	232
TE_00001481#MITE/DTH	407	114009	280.12	25	380
TE_00001482_LTR#LTR/Gypsy	1543	21558199	13971.61	422	40165
TE_00001483_INT#LTR/unknown	169	5387	31.88	0	75
TE_00001484#DNA/DTC	1942	31996	16.48	0	114
TE_00001485#DNA/DTC	3653	233840	64.01	2	408
TE_00001486_INT#LTR/Gypsy	6366	8177409	1284.54	49	4958
TE_00001487_LTR#LTR/unknown	1123	311626	277.49	8	744
TE_00001488#DNA/DTM	1414	63698	45.05	5	329
TE_00001489_INT#LTR/Gypsy	3707	3033792	818.40	22	1982
TE_00001490#DNA/DTA	559	350270	626.60	0	862
TE_00001491_INT#LTR/Gypsy	91	37878	416.24	0	1210
TE_00001492_INT#LTR/Gypsy	3882	1864590	480.32	230	816
TE_00001493_INT#LTR/Gypsy	294	246059	836.94	0	1958
TE_00001494#DNA/DTC	3419	600717	175.70	1	738
TE_00001495_INT#LTR/Gypsy	681	9335535	13708.57	0	24141
TE_00001496#MITE/DTT	257	23452	91.25	26	118
TE_00001497_INT#LTR/unknown	246	6135	24.94	0	54
TE_00001498#DNA/DTM	1419	1664385	1172.93	8	3173
TE_00001499_INT#LTR/Copia	329	3916610	11904.59	0	19384
TE_00001500_INT#LTR/Gypsy	463	340435	735.28	0	1472
TE_00001501_INT#LTR/unknown	156	31972	204.95	3	621
TE_00001502_INT#LTR/unknown	3577	875783	244.84	0	1269
TE_00001503_LTR#LTR/unknown	499	318936	639.15	260	757
TE_00001504#DNA/DTM	712	6239	8.76	0	27
TE_00001505_INT#LTR/Gypsy	5283	5338128	1010.43	0	3403
TE_00001506_INT#LTR/Gypsy	486	34730	71.46	0	231
TE_00001507_LTR#LTR/Gypsy	3571	761371	213.21	1	1165
TE_00001508#MITE/DTT	236	6764	28.66	0	43
TE_00001509#DNA/DTH	311	29246	94.04	0	247
TE_00001510_LTR#LTR/unknown	3979	6763355	1699.76	5	13165
TE_00001511#MITE/DTA	176	2038	11.58	6	18
TE_00001512#DNA/Helitron	4390	69547	15.84	0	102
TE_00001513#DNA/Helitron	5969	1745841	292.48	1	3479
TE_00001514#MITE/DTT	89	235	2.64	2	5
TE_00001515#DNA/DTT	4219	205312	48.66	0	901
TE_00001516_LTR#LTR/unknown	369	116346	315.30	0	599
TE_00001517#MITE/DTM	347	8481	24.44	0	81
TE_00001518#DNA/DTT	4650	133834	28.78	0	1225
TE_00001519#DNA/DTT	682	4391938	6439.79	25	9599
TE_00001520#DNA/DTM	3171	21981	6.93	0	23
TE_00001521_INT#LTR/Gypsy	1682	2771168	1647.54	0	5739
TE_00001522#DNA/DTT	1030	11855	11.51	0	26
TE_00001523_INT#LTR/Gypsy	410	392044	956.20	7	1778
TE_00001524_INT#LTR/Copia	429	7183411	16744.55	2	27409
TE_00001525#DNA/DTM	1798	8231	4.58	1	10
TE_00001526#DNA/DTC	1136	913498	804.14	1	2350
TE_00001527#MITE/DTT	99	3669	37.06	0	94
TE_00001528#MITE/DTT	130	5090	39.15	0	130
TE_00001529_LTR#LTR/unknown	822	51032	62.08	14	239
TE_00001530_INT#LTR/Gypsy	95	6523	68.66	2	112
TE_00001531_INT#LTR/Gypsy	351	2162672	6161.46	1	15078
TE_00001532#MITE/DTH	272	221869	815.69	227	1934
TE_00001533_LTR#LTR/Gypsy	3845	2875338	747.81	13	6375
TE_00001534#DNA/DTA	1021	20071	19.66	3	33
TE_00001535_INT#LTR/Gypsy	6119	4746924	775.77	2	3016
TE_00001536#MITE/DTT	414	28822	69.62	19	100
TE_00001537#MITE/DTT	370	294	0.79	0	6
TE_00001538#DNA/Helitron	1388	88291	63.61	4	165
TE_00001539#MITE/DTT	278	73095	262.93	14	345
TE_00001540_INT#LTR/Copia	3362	194372	57.81	0	289
TE_00001541_LTR#LTR/Gypsy	4114	43033602	10460.28	6	42837
TE_00001542#DNA/DTC	1631	122509	75.11	12	346
TE_00001543_LTR#LTR/Gypsy	946	3610645	3816.75	434	14525
TE_00001544_INT#LTR/Gypsy	2807	3768084	1342.39	1	4927
TE_00001545#DNA/DTH	124	9949	80.23	0	114
TE_00001546_INT#LTR/unknown	5643	16966170	3006.59	274	4324
TE_00001547_LTR#LTR/unknown	4151	10253372	2470.10	13	29445
TE_00001548#DNA/DTC	735	454322	618.13	0	1896
TE_00001549#MITE/DTT	253	2164	8.55	4	16
TE_00001550#DNA/DTM	3955	92747	23.45	0	119
TE_00001551_INT#LTR/Copia	8498	2272374	267.40	2	1186
TE_00001552#MITE/DTT	322	5851	18.17	0	76
TE_00001553_INT#LTR/Gypsy	11006	32835703	2983.44	1	14482
TE_00001554_INT#LTR/Gypsy	4771	83797	17.56	1	74
TE_00001555#MITE/DTT	518	460911	889.79	23	3373
TE_00001556_INT#LTR/Copia	4495	458084	101.91	0	295
TE_00001557#DNA/Helitron	2011	81346	40.45	4	256
TE_00001558_INT#LTR/Gypsy	5898	2324992	394.20	1	1242
TE_00001559_INT#LTR/Gypsy	157	14212	90.52	0	206
TE_00001560_INT#LTR/Gypsy	1959	1012733	516.96	0	2066
TE_00001561#MITE/DTT	187	60701	324.60	3	1283
TE_00001562_INT#LTR/unknown	2275	2284099	1004.00	105	2709
TE_00001563#MITE/DTT	429	6098	14.21	6	30
TE_00001564_INT#LTR/unknown	4699	243975	51.92	0	201
TE_00001565#MITE/DTT	209	6925	33.13	1	60
TE_00001566_LTR#LTR/unknown	229	91557	399.81	14	715
TE_00001567_LTR#LTR/Gypsy	1365	49732243	36433.88	2781	68346
TE_00001568#DNA/DTM	1439	5471	3.80	0	53
TE_00001569_LTR#LTR/unknown	116	1128	9.72	4	12
TE_00001570_INT#LTR/Copia	4369	150008	34.33	17	92
TE_00001571_INT#LTR/Gypsy	5150	18809583	3652.35	22	12908
TE_00001572_INT#LTR/Copia	4533	16693736	3682.71	1	62429
TE_00001573#DNA/DTC	1114	3350459	3007.59	10	32784
TE_00001574_INT#LTR/Copia	3711	1212850	326.83	15	522
TE_00001575_INT#LTR/unknown	1323	4935262	3730.36	4	16393
TE_00001576#DNA/DTT	632	11901	18.83	1	128
TE_00001577_INT#LTR/unknown	2261	407791	180.36	1	769
TE_00001578#DNA/DTC	3072	978522	318.53	0	1506
TE_00001579#MITE/DTC	175	12077	69.01	25	103
TE_00001580_INT#LTR/unknown	539	1728028	3205.99	0	14475
TE_00001581#DNA/DTM	1206	14874	12.33	1	34
TE_00001582#DNA/DTT	2390	502846	210.40	0	2793
TE_00001583#DNA/DTC	184	342369	1860.70	36	2628
TE_00001584_LTR#LTR/Gypsy	3846	6541336	1700.82	116	6918
TE_00001585_INT#LTR/Gypsy	2551	769769	301.75	0	1243
TE_00001586#MITE/DTC	114	7831	68.69	41	89
TE_00001587#DNA/DTH	3300	38398	11.64	1	35
TE_00001588#MITE/DTT	327	939	2.87	1	6
TE_00001589#DNA/Helitron	683	9035	13.23	0	163
TE_00001590#DNA/DTT	1662	20459	12.31	0	167
TE_00001591#DNA/DTH	1146	21040	18.36	1	71
TE_00001592_INT#LTR/unknown	5735	1441655	251.38	0	1733
TE_00001593_INT#LTR/unknown	536	1863731	3477.11	0	7281
TE_00001594#DNA/DTA	689	7399	10.74	2	50
TE_00001595_INT#LTR/Copia	363	53215	146.60	0	352
TE_00001596#MITE/DTM	148	296	2.00	1	4
TE_00001597_INT#LTR/Gypsy	9001	12776422	1419.44	0	8744
TE_00001598_INT#LTR/Copia	4504	484941	107.67	2	338
TE_00001599_INT#LTR/Gypsy	2062	715740	347.11	46	1165
TE_00001600_INT#LTR/unknown	1312	940835	717.10	3	1661
TE_00001601_LTR#LTR/Gypsy	291	4651	15.98	4	37
TE_00001602_INT#LTR/Copia	686	20980	30.58	0	108
TE_00001603#DNA/DTC	1421	199746	140.57	4	636
TE_00001604#DNA/DTT	1983	881797	444.68	0	4615
TE_00001605_INT#LTR/unknown	357	182646	511.61	1	1671
TE_00001606#DNA/DTC	3093	275605	89.11	0	215
TE_00001607#DNA/DTM	2604	119936	46.06	0	192
TE_00001608_LTR#LTR/Gypsy	283	3235	11.43	2	20
TE_00001609_INT#LTR/Gypsy	4898	3525408	719.76	13	84131
TE_00001610_INT#LTR/unknown	5553	3499169	630.14	1	2471
TE_00001611#DNA/DTM	1482	52022	35.10	7	285
TE_00001612#DNA/DTC	3637	1832095	503.74	1	995
TE_00001613_INT#LTR/unknown	639	1037043	1622.92	0	6879
TE_00001614#DNA/DTT	2663	19414	7.29	0	146
TE_00001615_INT#LTR/unknown	619	2059902	3327.79	0	9527
TE_00001616#DNA/DTT	868	626290	721.53	6	2883
TE_00001617#DNA/DTT	4972	185086	37.23	0	337
TE_00001618#DNA/Helitron	15473	1467387	94.84	0	1622
TE_00001619_INT#LTR/unknown	3515	30542	8.69	0	29
TE_00001620_INT#LTR/Copia	5049	469888	93.07	0	382
TE_00001621_LTR#LTR/Copia	1642	12981371	7905.83	534	22327
TE_00001622_INT#LTR/Gypsy	704	530480	753.52	0	1345
TE_00001623_LTR#LTR/Copia	162	22874	141.20	46	166
TE_00001624_LTR#LTR/Copia	213	22152	104.00	30	200
TE_00001625_INT#LTR/Gypsy	163	5323	32.66	0	73
TE_00001626#DNA/Helitron	1487	122572	82.43	16	307
TE_00001627_INT#LTR/Gypsy	552	705314	1277.74	0	2041
TE_00001628#MITE/DTT	117	1268	10.84	2	21
TE_00001629_INT#LTR/Copia	1079	5415166	5018.69	0	8537
TE_00001630_INT#LTR/unknown	635	479233	754.70	4	1883
TE_00001631_INT#LTR/unknown	8453	2182669	258.21	2	1669
TE_00001632_LTR#LTR/unknown	3798	2935298	772.85	4	4095
TE_00001633#DNA/DTT	1941	74029	38.14	0	315
TE_00001634#DNA/DTC	451	39127	86.76	0	206
TE_00001635#DNA/DTH	2071	23839	11.51	1	93
TE_00001636#MITE/DTT	91	5552	61.01	1	179
TE_00001637_INT#LTR/Gypsy	3672	370930	101.02	1	1216
TE_00001638_LTR#LTR/Gypsy	330	6849	20.75	11	28
TE_00001639_LTR#LTR/unknown	698	2453139	3514.53	94	7476
TE_00001640#DNA/DTH	2197	2236559	1018.01	110	1693
TE_00001641_INT#LTR/Gypsy	2142	12355501	5768.21	0	21181
TE_00001642_INT#LTR/Gypsy	4398	3163977	719.41	6	1800
TE_00001643#DNA/DTM	1856	41319	22.26	0	232
TE_00001644#MITE/DTH	343	3077	8.97	0	46
TE_00001645_INT#LTR/unknown	3960	497901	125.73	1	316
TE_00001646_LTR#LTR/Gypsy	2962	1066251	359.98	12	852
TE_00001647#DNA/DTT	1910	30517	15.98	0	159
TE_00001648#DNA/DTA	2222	78227	35.21	0	247
TE_00001649_LTR#LTR/Copia	186	4182	22.48	11	28
TE_00001650_LTR#LTR/Gypsy	1028	1088347	1058.70	70	4122
TE_00001651_INT#LTR/Gypsy	8802	10449022	1187.12	1	5306
TE_00001652_LTR#LTR/unknown	4186	2962024	707.60	3	6813
TE_00001653#DNA/DTH	1137	177131	155.79	0	598
TE_00001654_INT#LTR/unknown	10986	114998521	10467.73	3	37048
TE_00001655_INT#LTR/Gypsy	301	31548	104.81	0	202
